date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
3,11,1546,74,2687,.050111644,-.029850805,4307,.35895056,.017181333,.62386811,.37613189,Restaurants and Hotels,Restaurants & Hotels,01-04-1988,1988-04-01,1988,4,2
3,9,148,81,1948,.077041604,-.085455939,2177,.067983463,.037207168,.89480937,.10519063,Recreation and culture,Recreation & culture,01-04-1988,1988-04-01,1988,4,2
3,7,453,36,831,.051517688,-.015771307,1320,.34318182,.027272727,.62954545,.37045455,Transport,Transport,01-04-1988,1988-04-01,1988,4,2
3,12,182,73,1401,.063863285,-.06122449,1656,.10990338,.044082124,.8460145,.1539855,Miscellaneous goods and services,Misc,01-04-1988,1988-04-01,1988,4,2
4,5,402,167,3453,.076814592,-.066182278,4022,.099950276,.041521631,.85852808,.14147191,"Furnishings, household equipment and maintenance",Household,01-05-1988,1988-05-01,1988,5,2
4,4,53,405,877,.076923005,-.065700039,1335,.039700374,.30337077,.65692884,.34307116,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-05-1988,1988-05-01,1988,5,2
4,7,96,121,1154,.046511583,-.014451341,1371,.070021883,.088256747,.84172136,.15827863,Transport,Transport,01-05-1988,1988-05-01,1988,5,2
4,2,631,234,2397,.024125429,-.020319285,3262,.1934396,.071735129,.73482525,.26517475,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-05-1988,1988-05-01,1988,5,2
4,1,1342,793,5834,.060606003,-.059720278,7969,.16840255,.099510603,.73208684,.26791316,Food and non-alcoholic beverages,Food & drink,01-05-1988,1988-05-01,1988,5,2
4,6,37,3,359,.047288649,-.023837045,399,.092731826,.0075187972,.8997494,.10025062,Health,Health,01-05-1988,1988-05-01,1988,5,2
4,9,108,99,2060,.080476195,-.07407409,2267,.047640052,.043670047,.90868992,.091310099,Recreation and culture,Recreation & culture,01-05-1988,1988-05-01,1988,5,2
4,12,124,59,1532,.05823528,-.068588108,1715,.072303206,.034402333,.89329445,.10670554,Miscellaneous goods and services,Misc,01-05-1988,1988-05-01,1988,5,2
