itemname,price,p,group,newdate
Men's socks,8090,.50999999,1,1988-11-01
Lettuce,10,.55000001,1,1988-12-01
Lettuce,1020,.089999974,1,1988-12-01
Lettuce,2030,.050000012,1,1988-12-01
Lettuce,3040,.060000002,1,1988-12-01
Lettuce,4050,.050000012,1,1988-12-01
Lettuce,5060,.089999974,1,1988-12-01
Lettuce,6070,0,1,1988-12-01
Lettuce,7080,.0099999905,1,1988-12-01
Lettuce,8090,.050000012,1,1988-12-01
Cigarettes,10,1.45,1,1988-12-01
Cigarettes,1020,0,1,1988-12-01
Cigarettes,2030,.0099999905,1,1988-12-01
Cigarettes,3040,.019999981,1,1988-12-01
Cigarettes,4050,.0099999905,1,1988-12-01
Cigarettes,5060,.059999943,1,1988-12-01
Cigarettes,6070,.030000091,1,1988-12-01
Cigarettes,7080,.029999971,1,1988-12-01
Cigarettes,8090,0,1,1988-12-01
Men's socks,10,.99000001,1,1988-12-01
Men's socks,1020,.50999999,1,1988-12-01
Men's socks,2030,0,1,1988-12-01
Men's socks,3040,.25,1,1988-12-01
Men's socks,4050,.24000001,1,1988-12-01
Men's socks,5060,.25999999,1,1988-12-01
Men's socks,6070,.25,1,1988-12-01
Men's socks,7080,.49000001,1,1988-12-01
Men's socks,8090,.5,1,1988-12-01
Lettuce,10,.69,1,1989-01-01
Lettuce,1020,.060000002,1,1989-01-01
Lettuce,2030,.050000012,1,1989-01-01
Lettuce,3040,.050000012,1,1989-01-01
Lettuce,4050,.039999962,1,1989-01-01
Lettuce,5060,.050000012,1,1989-01-01
Lettuce,6070,.0099999905,1,1989-01-01
Lettuce,7080,.030000031,1,1989-01-01
Lettuce,8090,.0099999905,1,1989-01-01
Cigarettes,10,1.45,1,1989-01-01
Cigarettes,1020,.0099999905,1,1989-01-01
Cigarettes,2030,.0099999905,1,1989-01-01
Cigarettes,3040,.0099999905,1,1989-01-01
Cigarettes,4050,.0099999905,1,1989-01-01
Cigarettes,5060,.059999943,1,1989-01-01
Cigarettes,6070,.040000081,1,1989-01-01
Cigarettes,7080,.019999981,1,1989-01-01
Cigarettes,8090,0,1,1989-01-01
Men's socks,10,1,1,1989-01-01
Men's socks,1020,.5,1,1989-01-01
Men's socks,2030,.090000033,1,1989-01-01
Men's socks,3040,.38,1,1989-01-01
Men's socks,4050,.019999981,1,1989-01-01
Men's socks,5060,.30999994,1,1989-01-01
Men's socks,6070,.4000001,1,1989-01-01
Men's socks,7080,.28999996,1,1989-01-01
Men's socks,8090,.50999999,1,1989-01-01
Lettuce,10,.5,1,1989-03-01
Lettuce,1020,.089999974,1,1989-03-01
