name,price,p,newDate
Lettuce,10,.58999997,1990-03-01
Lettuce,1020,.060000002,1990-03-01
Lettuce,2030,.090000033,1990-03-01
Lettuce,3040,.0099999905,1990-03-01
Lettuce,4050,.040000021,1990-03-01
Lettuce,5060,0,1990-03-01
Lettuce,6070,0,1990-03-01
Lettuce,7080,.060000002,1990-03-01
Lettuce,8090,.13,1990-03-01
Pub Meal,10,1.5,1990-03-01
Pub Meal,1020,.25,1990-03-01
Pub Meal,2030,.20000005,1990-03-01
Pub Meal,3040,.25,1990-03-01
Pub Meal,4050,.20000005,1990-03-01
Pub Meal,5060,.099999905,1990-03-01
Pub Meal,6070,.29999995,1990-03-01
Pub Meal,7080,.20000005,1990-03-01
Pub Meal,8090,.4000001,1990-03-01
Cigarettes,10,1.49,1990-03-01
Cigarettes,1020,.0099999905,1990-03-01
Cigarettes,2030,.0099999905,1990-03-01
Cigarettes,3040,0,1990-03-01
Cigarettes,4050,.029999971,1990-03-01
Cigarettes,5060,.050000072,1990-03-01
Cigarettes,6070,.059999943,1990-03-01
Cigarettes,7080,0,1990-03-01
Cigarettes,8090,0,1990-03-01
Men's socks,10,1.25,1990-03-01
Men's socks,1020,.5,1990-03-01
Men's socks,2030,.24000001,1990-03-01
Men's socks,3040,0,1990-03-01
Men's socks,4050,.25999999,1990-03-01
Men's socks,5060,.25,1990-03-01
Men's socks,6070,.45000005,1990-03-01
Men's socks,7080,.29999995,1990-03-01
Men's socks,8090,.70000005,1990-03-01
Lettuce,10,.69999999,1990-04-01
Lettuce,1020,.10000002,1990-04-01
Lettuce,2030,.089999974,1990-04-01
Lettuce,3040,.060000002,1990-04-01
Lettuce,4050,.030000031,1990-04-01
Lettuce,5060,.0099999905,1990-04-01
Lettuce,6070,.0099999905,1990-04-01
Lettuce,7080,.080000043,1990-04-01
Lettuce,8090,.11000001,1990-04-01
Pub Meal,10,1.5,1990-04-01
Pub Meal,1020,.29999995,1990-04-01
Pub Meal,2030,.20000005,1990-04-01
Pub Meal,3040,.20000005,1990-04-01
Pub Meal,4050,.22500014,1990-04-01
Pub Meal,5060,.074999809,1990-04-01
Pub Meal,6070,.4000001,1990-04-01
Pub Meal,7080,.099999905,1990-04-01
Pub Meal,8090,.45000005,1990-04-01
Cigarettes,10,1.49,1990-04-01
Cigarettes,1020,.0099999905,1990-04-01
Cigarettes,2030,.0099999905,1990-04-01
Cigarettes,3040,.024999976,1990-04-01
Cigarettes,4050,.065000057,1990-04-01
