date,division,up,down,level,up_ch,down_ch,total,up_sh,down_sh,level_sh,change_sh,division_s,division_sh,date2,date4,year,month,quarter
9,5,382,160,3037,.068989307,-.056926087,3579,.10673372,.044705223,.84856105,.15143895,"Furnishings, household equipment and maintenance",Household,01-10-1988,1988-10-01,1988,10,4
9,8,3,4,59,.11123471,-.11220705,66,.045454547,.060606062,.89393938,.10606061,Communication,Communication,01-10-1988,1988-10-01,1988,10,4
10,7,74,135,1226,.06609232,-.022727251,1435,.051567946,.094076656,.85435539,.14564461,Transport,Transport,01-11-1988,1988-11-01,1988,11,4
10,1,1253,821,6011,.059714831,-.06249994,8085,.15497835,.10154607,.74347556,.25652441,Food and non-alcoholic beverages,Food & drink,01-11-1988,1988-11-01,1988,11,4
10,12,147,71,1481,.078795984,-.058333278,1699,.086521484,.04178929,.8716892,.12831077,Miscellaneous goods and services,Misc,01-11-1988,1988-11-01,1988,11,4
10,11,472,55,3911,.047619097,-.038461503,4438,.10635421,.01239297,.88125283,.11874718,Restaurants and Hotels,Restaurants & Hotels,01-11-1988,1988-11-01,1988,11,4
10,8,6,2,68,.11846345,-.18340114,76,.078947365,.02631579,.89473683,.10526316,Communication,Communication,01-11-1988,1988-11-01,1988,11,4
10,9,156,88,2021,.095587388,-.0936836,2265,.068874173,.038852096,.89227372,.10772627,Recreation and culture,Recreation & culture,01-11-1988,1988-11-01,1988,11,4
10,2,906,449,1928,.02531643,-.042434528,3283,.27596709,.13676515,.58726776,.41273224,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-11-1988,1988-11-01,1988,11,4
10,4,179,40,1109,.061946884,-.044318289,1328,.13478915,.030120483,.83509034,.16490963,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-11-1988,1988-11-01,1988,11,4
10,3,413,173,4693,.1006289,-.10060668,5279,.078234516,.032771356,.88899416,.11100587,Clothing and footwear,Clothing and footwear,01-11-1988,1988-11-01,1988,11,4
10,6,20,6,372,.046676531,-.043478221,398,.050251257,.015075377,.93467337,.065326631,Health,Health,01-11-1988,1988-11-01,1988,11,4
10,5,364,176,3252,.07884489,-.07741572,3792,.095991559,.046413504,.85759491,.14240506,"Furnishings, household equipment and maintenance",Household,01-11-1988,1988-11-01,1988,11,4
11,9,101,48,2154,.083562091,-.082996845,2303,.043855838,.020842379,.93530178,.064698219,Recreation and culture,Recreation & culture,01-12-1988,1988-12-01,1988,12,4
11,11,277,20,4263,.045086145,-.027139237,4560,.060745616,.0043859649,.9348684,.065131582,Restaurants and Hotels,Restaurants & Hotels,01-12-1988,1988-12-01,1988,12,4
11,5,225,156,3460,.066263728,-.06933333,3841,.058578495,.040614422,.90080708,.099192917,"Furnishings, household equipment and maintenance",Household,01-12-1988,1988-12-01,1988,12,4
11,12,105,33,1588,.06918247,-.081243522,1726,.0608343,.01911935,.92004633,.079953648,Miscellaneous goods and services,Misc,01-12-1988,1988-12-01,1988,12,4
11,1,1339,567,6227,.065258734,-.059523754,8133,.16463789,.069715969,.76564616,.23435387,Food and non-alcoholic beverages,Food & drink,01-12-1988,1988-12-01,1988,12,4
11,2,265,434,2629,.021191314,-.04096242,3328,.079627402,.13040866,.78996396,.21003607,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-12-1988,1988-12-01,1988,12,4
11,7,76,100,1234,.038515408,-.058823541,1410,.053900708,.070921987,.87517732,.12482269,Transport,Transport,01-12-1988,1988-12-01,1988,12,4
11,6,10,6,378,.045454502,-.026666641,394,.02538071,.015228426,.95939088,.040609136,Health,Health,01-12-1988,1988-12-01,1988,12,4
11,8,4,2,75,.099083617,-.14613464,81,.049382716,.024691358,.92592591,.074074075,Communication,Communication,01-12-1988,1988-12-01,1988,12,4
11,3,275,159,4852,.10265119,-.10007507,5286,.052024215,.030079456,.91789633,.08210367,Clothing and footwear,Clothing and footwear,01-12-1988,1988-12-01,1988,12,4
11,4,66,34,1255,.050833739,-.063716836,1355,.048708487,.025092252,.92619926,.073800743,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-12-1988,1988-12-01,1988,12,4
12,3,665,834,4242,.12725309,-.17369795,5741,.11583348,.14527085,.73889565,.26110435,Clothing and footwear,Clothing and footwear,01-01-1989,1989-01-01,1989,1,1
12,11,521,160,3686,.058823559,-.043478284,4367,.11930387,.036638424,.84405768,.15594229,Restaurants and Hotels,Restaurants & Hotels,01-01-1989,1989-01-01,1989,1,1
12,4,258,44,991,.042105287,-.017397663,1293,.19953597,.034029391,.76643467,.23356536,"Housing, Water, Electricity, Gas and other fuels",Housing & utilities,01-01-1989,1989-01-01,1989,1,1
12,1,1617,883,5089,.066666603,-.074837178,7589,.21307155,.11635262,.67057586,.32942417,Food and non-alcoholic beverages,Food & drink,01-01-1989,1989-01-01,1989,1,1
12,6,80,1,293,.087228253,-.13043478,374,.21390374,.0026737968,.78342247,.21657753,Health,Health,01-01-1989,1989-01-01,1989,1,1
12,2,952,177,2034,.039215744,-.018436741,3163,.30098009,.055959534,.64306039,.35693961,"Alcoholic beverages, tobacco and narcotics",Alcohol & tobacco,01-01-1989,1989-01-01,1989,1,1
12,12,199,119,1297,.069304198,-.073485307,1615,.12321982,.073684208,.803096,.19690403,Miscellaneous goods and services,Misc,01-01-1989,1989-01-01,1989,1,1
12,7,230,137,1041,.057189543,-.021749388,1408,.16335227,.097301133,.73934656,.26065341,Transport,Transport,01-01-1989,1989-01-01,1989,1,1
12,9,212,209,1804,.089542925,-.09902598,2225,.095280901,.093932584,.81078655,.18921348,Recreation and culture,Recreation & culture,01-01-1989,1989-01-01,1989,1,1
