quote_date,item_id,name,date,median,price,p,keep,date2,date3,newDate,_merge
198806,212511,C. Lettuce,5,.68833333,4050,.031666696,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,5060,.025833309,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,6070,.027083337,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,7080,.033749998,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,212511,C. Lettuce,5,.68833333,8090,.035000026,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,10,1.4245833,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,1020,.0070832968,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,2030,.011250019,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,3040,.016250014,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,4050,.042500019,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,5060,.031666636,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,6070,.019583344,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,7080,.017500043,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,320108,D. Cigarettes,5,1.5016667,8090,.009583354,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,10,1.1484616,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,1020,.20769227,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,2030,.22923076,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,3040,.24692309,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,4050,.15538466,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,5060,.15769219,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,6070,.30846167,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,7080,.31884599,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198806,510413,B. Men's socks,5,1.9876924,8090,.56500006,1,01-06-1988,01-06-1988,1988-06-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,10,.40416667,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,1020,.052083343,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,2030,.039999992,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,3040,.04125002,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,4050,.0087499619,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,5060,.029166698,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,6070,.02791661,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,7080,.025833368,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
198807,212511,C. Lettuce,6,.54624999,8090,.06583333,1,01-07-1988,01-07-1988,1988-07-01,matched (3)
