description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id,p,up,down,level,up12,down12,level12,up_ch,down_ch,up_ch12,down_ch12,down_ch_mean,down_ch12_mean,all,down_sh,all12,down_sh12,division,group,year,month,quarter,cpih_coicop_weight,up_ch_weighted,up_ch12_weighted,freqRise_a,freqRise_m,freqFall_a,freqFall_m,sizeRise_a,sizeRise_m,sizeFall_a,sizeFall_m,WeightRise_a,WeightRise_m,dateMax,up_sh_longRun,up_ch_longRun,upRank12,downRank12
DIGITAL DEVELOPMENT PER PRINT,.58139533,.15020683,.0625,.13275681,630359,.64999998,6,3,87,50,4,32,.09251409,-.18750004,.10169493,-.11751032,-.13666667,-.11438015,96,.03125,86,.046511628,9,904,2024,2,1,.72000003,.095584907,.10814893,174,353,477,364,410,382,93,158,339,322,433,.034766003,.2420278,363,364
BEEF ROASTING JOINT PER KG,.58139533,.10380024,.073394492,.22487789,210416,13,8,5,96,50,12,24,.19552821,-.07692308,.074363098,-.17870855,-.10220894,-.17773224,109,.04587156,86,.13953489,1,101,2024,2,1,.34,.076458484,.035292082,175,313,346,309,507,255,232,97,504,365,433,.14944465,.17641279,471,215
ICE CREAM 450ML-1L,.58064514,.20114648,.11111111,.17123093,212933,3,12,19,77,54,18,21,.057837844,-.24050634,.17751476,-.2,-.1981194,-.21056865,108,.17592593,93,.19354838,1,101,2024,2,1,1,.17123093,.20114648,176,242,271,80,302,313,306,305,181,184,433,.13063924,.45653433,184,180
NON-DAIRY MILK DRINK 900ML-1LT,.57978725,.11501666,.1182266,.38682118,211714,2,24,15,164,109,37,42,.34615383,-.28571424,.086956546,-.047619004,-.27125075,-.10865529,203,.073891625,188,.19680852,1,101,2024,2,1,.22,.085100658,.025303666,177,220,266,238,485,122,75,424,531,348,433,.17131883,.31875861,427,497
WOMENS EXERCISE LEGGINGS,.578125,.30748197,.15000001,.15385658,510260,24.99,30,26,144,111,37,44,.11111111,-.31818181,.2,-.18144611,-.26131314,-.17739919,200,.13,192,.19270833,3,301,2024,2,1,.34,.052311238,.10454387,179,173,272,139,182,346,231,416,346,426,433,.12031735,.3276127,153,209
BREAKFAST CEREAL 2,.578125,.16000004,.069444448,.1647798,210214,2.5,15,14,187,111,38,43,.11111111,-.16413373,.15384619,-.11764708,-.15751193,-.14065531,216,.064814813,192,.19791667,1,101,2024,2,1,1.36,.22410053,.21760006,178,331,264,263,389,326,141,205,157,135,433,.13284883,.25594866,230,361
HOME CARE ASSISTANT HRLY RATE,.57608694,.14475831,.050000001,.078607306,440128,25,5,0,95,53,3,36,.057142857,,.13369222,-.16694491,,-.15760736,100,0,92,.032608695,12,1204,2024,2,1,1.4,.11005022,.20266163,181,388,504,536,425,477,180,,178,293,433,.048094641,.082508996,282,230
"MILK FLAVOURED, 180-500MLS/GMS",.57575756,.26905695,.10614525,.43775818,211713,1.5,19,24,136,95,36,34,.60000002,-.10101012,.2,-.17948718,-.14039907,-.16177537,179,.13407822,165,.21818182,1,101,2024,2,1,.22,.096306801,.059192527,182,251,235,132,217,94,186,165,443,321,433,.17215912,.52668083,154,213
"YOGHURT/FROMAGE 4-6PK, 45-125G",.57575756,.19180354,.16814159,.34643862,211807,1.795,19,13,81,57,26,16,.375,-.16666667,.2,-.16666669,-.17708141,-.18507367,113,.11504425,99,.26262626,1,101,2024,2,1,1.1,.38108248,.2109839,183,149,185,165,324,145,244,255,168,51,433,.12097926,.39648822,159,235
"CHEESE SPREAD, 125g-200g TUB",.56756759,.2652272,.088888891,.32673079,211506,1.8,8,10,72,42,16,16,.31999999,-.2955426,.18181823,-.26918268,-.23469828,-.23454472,90,.11111111,74,.21621622,1,101,2024,2,1,.66000003,.21564233,.17504996,184,286,239,173,221,161,359,379,220,141,433,.1399236,.3464148,178,100
ELECTRIC TOOTHBRUSH,.56540084,.61285079,.3277027,.7875337,430363,67.989998,97,88,111,134,43,60,.80008012,-.34210527,.50004172,-.375,-.30449921,-.39629784,296,.2972973,237,.1814346,12,1201,2024,2,1,.16,.1260054,.098056123,186,26,287,21,41,13,533,458,361,267,433,.25228047,.65002251,14,29
SWEET POTATO PER KG OR EACH,.56402439,.20302676,.10584958,.41079122,212535,1.1900001,38,47,274,185,86,57,.51898736,-.18348628,.11111113,-.10101012,-.15854925,-.12917748,359,.13091922,328,.26219511,1,101,2024,2,1,.25999999,.10680571,.052786954,188,254,186,136,298,109,123,207,455,298,433,.098707423,.19473059,332,394
WHITE WINE- EUROPEAN 75CL,.56284153,.13089964,.19191919,.13262929,310419,7.25,38,31,129,103,38,42,.12142858,-.13333334,.09218438,-.071428575,-.14274523,-.079300985,198,.15656565,183,.20765027,2,201,2024,2,1,1.12,.1485448,.14660759,189,110,248,101,460,383,28,172,265,227,433,.15086964,.19851059,400,457
BOOK-NON-FICTION-HARD-COVER,.5625,.35162851,.3888889,.39826316,630425,15,49,47,30,72,50,6,.36000001,-.22222222,.35508305,-.30357143,-.28349581,-.27267057,126,.37301588,128,.390625,9,905,2024,2,1,.83999997,.33454105,.29536793,192,18,66,5,144,115,437,442,103,65,433,.25207061,.29794067,42,60
PIZZA TAKEAWAY OR DELIVERED,.5625,.16471726,.04255319,.10935711,220316,10.15,4,2,88,45,10,25,.066602327,-.11260009,.12552302,-.11444089,-.11260009,-.17051378,94,.021276595,80,.125,11,1101,2024,2,1,1.74,.19028138,.28660804,191,418,367,407,378,421,214,115,111,164,433,.052929737,.12134682,296,368
CRUMPETS PACK 6-9 SPEC NUMBER,.5625,.13860746,.19796954,.21296299,210324,.89999998,39,2,156,90,10,60,.25,-.2,.076923095,-.2,-.2,-.17714816,197,.010152284,160,.0625,1,101,2024,2,1,1.02,.21722224,.14137961,193,103,459,474,442,267,230,311,281,139,433,.15773235,.21204855,456,181
COOKED HAM PREPACKED SLICED,.5625,.13326167,.0059523811,.40000001,211023,2.95,1,5,162,90,51,19,.40000001,-.021739174,.053571463,-.125,-.040950496,-.12095641,168,.029761905,160,.31874999,1,101,2024,2,1,1.87,.74800003,.24919932,190,533,125,367,454,114,103,13,130,5,433,.109722,.22594808,509,335
CONDITIONER FOR HAIR,.56213015,.44893399,.18274112,.27832237,520248,3.3,36,29,132,95,19,55,.10000002,-.25,.20240487,-.25,-.28019038,-.234173,197,.14720812,169,.11242604,12,1201,2024,2,1,.47999999,.13359474,.21548831,194,128,380,115,84,197,357,439,162,258,433,.13115534,.61649203,136,115
MEN'S CLOTHING HIRE- SEE HELP,.56,.18108185,.052631579,.16068529,440132,109.475,3,1,53,28,2,20,.1010101,-.08336807,.089981467,-.10230143,-.08336807,-.10230143,57,.01754386,50,.039999999,3,301,2024,2,1,.19,.030530203,.034405552,195,377,490,429,340,333,68,68,507,483,433,.053503208,.10224101,414,392
BODY M'RISING LOTION 200-400ML,.55882353,.33384824,.10439561,.60653931,520252,6.0999999,19,30,133,95,36,39,.68000007,-.14285715,.14285715,-.25047621,-.23414455,-.32943851,182,.16483517,170,.21176471,12,1201,2024,2,1,.47999999,.29113886,.16024715,196,259,244,91,160,35,503,378,246,89,433,.20617518,.52263963,256,113
MINICAB FARE FOR 2 MILES,.55855858,.19707592,.0546875,.12796803,620308,8,7,5,116,62,11,38,.095000029,-.028571429,.10912699,-.10526316,-.045205336,-.11728791,128,.0390625,111,.0990991,7,703,2024,2,1,1.08,.13820547,.212842,197,372,398,334,310,388,97,19,167,248,433,.038702715,.14442231,345,387
WOMEN'S SKIRT: WORK/FORMAL,.55665022,.48525718,.24242425,.60837823,510238,18,56,24,151,113,61,29,.33967224,-.27852052,.40000001,-.15254237,-.29909113,-.19856158,231,.1038961,203,.30049261,3,301,2024,2,1,.68000001,.41369721,.32997489,198,70,142,184,69,34,278,453,86,45,433,.1269705,.51459962,30,274
FRESH TURKEY DICED/MIN PER KG,.55555558,.16299815,.027027028,.078378364,210914,8,1,1,35,10,4,4,.078378364,-.097103871,.071428619,-.11898224,-.097103871,-.13218701,37,.027027028,18,.22222222,1,101,2024,2,1,.17,.013324322,.027709687,199,480,232,377,383,478,127,82,525,526,433,.10362396,.13402879,475,356
MEN'S BRANDED SPORT SWEATSHIRT,.55454546,.42731714,.24786325,.20296746,510128,47.990002,29,3,85,61,16,33,.14583333,-.11111111,.14285715,-.19397362,-.12404507,-.24266076,117,.025641026,110,.14545454,3,301,2024,2,1,.34,.069008939,.14528783,200,66,337,387,97,279,379,136,268,385,433,.10026175,.33642799,259,194
HK LAMB LOIN CHOP/STEAK PER KG,.55329949,.074701309,.027272727,.06658376,210506,16.17,6,7,207,109,32,56,.059696577,-.031999968,.055333328,-.094769232,-.099437565,-.099454567,220,.031818181,197,.16243654,1,101,2024,2,1,1.53,.10187315,.114293,201,479,317,360,551,498,61,89,328,308,433,.10280375,.14753215,507,410
WOMEN'S SKIRT: CASUAL,.55208331,.54253376,.19130434,.92571491,510237,19.5,44,49,137,106,52,34,.63333333,-.3125,.40202022,-.20666668,-.30926532,-.27628893,230,.21304348,192,.27083334,3,301,2024,2,1,.68000001,.62948614,.36892295,202,112,173,47,53,5,443,463,72,12,433,.16311911,.53296721,29,167
POTATO CRISPS 25G-50G,.55033559,.16660102,.0125,.049999952,212402,1,2,0,158,82,0,67,.049999952,,.11111114,,,,160,0,149,0,1,101,2024,2,1,.64999998,.032499969,.10829066,203,515,551,555,376,520,,,338,476,433,.079121381,.088790826,330,
ACTION CAMERA,.54954952,.27733535,.35820895,.086265586,630377,169,48,12,74,61,38,12,.098709598,-.0023023565,.17860325,-.300006,-.0023023565,-.2794818,134,.089552239,111,.34234235,9,901,2024,2,1,.5,.043132793,.13866767,204,21,104,210,212,466,446,3,284,445,433,.17902297,.24047907,182,63
"CAR TYRE, STATE SIZE",.5487805,.13223745,.06122449,.028529629,610204,82.949997,6,4,88,45,30,7,.030706145,-.11584199,.11075648,-.095179915,-.12528715,-.10651534,98,.040816326,82,.36585367,7,702,2024,2,1,.80000001,.022823704,.10578996,205,355,85,326,457,536,73,138,342,503,433,.10483178,.094843186,342,409
CARBON FIBRE FISHING ROD,.54838711,.46085528,.073170729,.13388287,630340,62.489998,3,2,36,17,5,9,.11818182,-.063338429,.2502085,-.17502189,-.063338429,-.19181669,41,.048780486,31,.16129032,9,903,2024,2,1,1.04,.13923818,.47928947,206,315,321,302,80,377,260,40,39,247,433,.037358064,.1466029,90,221
MENS CASUAL SHIRT,.54661018,.52996767,.16334662,.51758128,510131,25,41,30,180,129,53,54,.40000001,-.2857143,.22222222,-.14285715,-.27619147,-.20415282,251,.11952192,236,.22457626,3,301,2024,2,1,.68000001,.35195526,.36037803,207,152,227,159,55,57,290,434,77,57,433,.13165158,.48242038,124,290
"CANNED FISH, TUNA, 130G-200G",.54430377,.15553354,.17475729,.2857973,211207,1.09,18,13,72,43,21,15,.32743365,-.099999979,.125,-.18055563,-.15301597,-.18504645,103,.1262136,79,.2658228,1,101,2024,2,1,1,.2857973,.15553354,208,135,179,147,399,189,243,196,253,96,433,.11841492,.21157838,298,210
FRESH VEG-CAULIFLOWER-EACH,.54042554,.0936241,.21478873,.14104638,212504,1.1,61,29,194,127,62,46,.10101012,-.18775511,.042105287,-.090909109,-.20583047,-.16474226,284,.10211267,235,.2638298,1,101,2024,2,1,.38999999,.055008084,.036513399,209,92,183,191,525,365,192,322,500,416,433,.3157689,.28275561,521,418
WOMEN'S COAT - SEE HELP SCREEN,.53846157,.32720038,.23868313,.42196047,510250,45,58,46,139,112,70,26,.23784003,-.21256039,.2,-.20936441,-.26288781,-.23192598,243,.18930042,208,.33653846,3,301,2024,2,1,.68000001,.28693312,.22249626,211,75,109,68,167,105,354,418,151,95,433,.14558753,.41644603,148,164
SUNSCREEN - SPEC SIZE/SPF,.53846157,.29705438,.04255319,.18881238,520235,7.8899999,4,4,86,35,8,22,.13866195,-.17306355,.21538463,-.16747312,-.16473655,-.23847345,94,.04255319,65,.12307692,12,1201,2024,2,1,.47999999,.090629935,.1425861,210,416,370,316,192,289,366,222,279,334,433,.093279786,.39045945,127,227
POTATOES- BAKING PR KG,.53846157,.24715231,.13095239,.16788173,212311,.79000002,33,8,211,119,50,52,.083333254,-.18382353,.1666666,-.16164657,-.19732662,-.1946716,252,.031746034,221,.22624435,1,101,2024,2,1,.13,.021824624,.032129798,212,200,223,362,245,323,268,301,513,505,433,.12447865,.23490289,210,253
GIRLS LEGGINGS 5-13 YEARS,.5371179,.4679397,.090534978,.83736128,510349,5,22,28,193,123,77,29,.59066892,-.18333334,.26984128,-.21288016,-.25014633,-.27087742,243,.11522634,229,.33624455,3,301,2024,2,1,.34,.28470284,.1590995,213,282,110,164,77,10,436,399,247,98,433,.11373591,.44681564,82,159
CAR REPAIRS LOCAL GARAGE,.53571427,.14040655,0,,610236,72,0,0,59,30,2,24,,,.1225,-.26282051,,-.26282051,59,0,56,.035714287,7,702,2024,2,1,3.25,,.4563213,214,550,495,561,435,,418,,46,,433,.038383175,.11046884,307,108
FROZEN BREAD/BAT FISH 400-550G,.53254437,.29170173,.12437811,.43624938,211211,5.5,25,21,155,90,38,41,.5,-.23999999,.18103443,-.11333333,-.21346851,-.14159013,201,.10447761,169,.22485207,1,101,2024,2,1,.28,.12214983,.081676483,215,211,226,182,198,96,144,338,395,275,433,.15576246,.27845857,180,369
WOMENS SPORTSWEAR SHORTS,.53153151,.46132737,.16239317,.15837246,510254,26.689999,19,13,85,59,37,15,.032258064,-.17434783,.16666667,-.16666667,-.23942935,-.22887719,117,.11111111,111,.33333334,3,301,2024,2,1,.34,.053846639,.15685131,216,154,115,171,79,338,347,384,252,421,433,.10447552,.39338478,198,248
MEAT BASED SNACK PACK MAX 400G,.53086418,.16369818,.01058201,.33333334,211030,2.2,2,5,182,86,40,36,.33333334,-.204,.1621622,-.047619078,-.21142092,-.088115402,189,.026455026,162,.24691358,1,101,2024,2,1,.50999999,.17,.083486073,217,520,200,383,381,156,40,335,387,186,433,.10423062,.21883182,217,495
TEN-PIN BOWLING PER GAME,.5271318,.069140375,.078125,.063236803,640224,7.5,10,2,116,68,10,51,.069304869,-.065168314,.055224415,-.071490332,-.065168314,-.17801034,128,.015625,129,.07751938,9,904,2024,2,1,.27000001,.017073937,.018667903,218,303,430,440,554,502,233,42,539,517,433,.054772824,.12427875,508,453
"FLAVRD TEA 15-20 BAGS, 30-40G",.52688169,.19218588,.10945274,.29341239,211905,2.49,22,38,141,98,38,50,.25,-.14893614,.11111111,-.14893614,-.13933407,-.17493381,201,.18905473,186,.20430107,1,102,2024,2,1,.079999998,.023472991,.01537487,219,247,255,69,322,183,225,163,544,501,433,.13230555,.268516,336,277
WOMEN'S LONG SLV TOP-NT BLOUSE,.52678573,.64862806,.17695473,.84920126,510223,14,43,31,169,118,82,24,.66666669,-.10909091,.33333334,-.24981239,-.18106547,-.2901468,243,.12757201,224,.36607143,3,301,2024,2,1,.34,.28872845,.22053353,220,132,83,144,34,9,463,268,155,94,433,.15060334,.52500176,52,120
WOMANS BOOTS,.52592593,.35337695,.086021505,.49306318,510529,36.995003,16,38,132,71,49,15,.25322458,-.2,.16672231,-.22222222,-.22842771,-.2451617,186,.20430107,135,.36296296,3,302,2024,2,1,.56,.27611539,.1978911,221,290,87,57,142,67,384,361,185,105,433,.1005073,.4162491,195,143
"DINNER PLATE, APPROX DIAMETER",.52577317,.32897645,.13824885,.58605969,430425,3.75,30,10,177,102,32,60,.5081287,-.2,.16666667,-.11764706,-.23005427,-.18248607,217,.046082951,194,.16494845,5,504,2024,2,1,.44999999,.26372686,.1480394,222,188,311,307,165,37,240,368,263,115,433,.086198457,.31298724,202,362
SELF-DRIVE VAN HIRE,.52534562,.19196238,.046413504,.088882819,620303,75,11,6,220,114,30,73,.09259259,-.11483917,.12262799,-.125,-.093813598,-.22457466,237,.025316456,217,.13824885,7,702,2024,2,1,.36000001,.031997815,.06910646,223,399,348,389,323,463,335,80,417,479,433,.055229109,.12651061,305,341
CANVAS FASHION ADULT SHOE/TRAI,.51999998,.34647349,.12328767,.8743993,510535,16,18,7,121,52,24,24,.72142029,-.29090908,.2820513,-.28851604,-.3894693,-.31401497,146,.047945205,100,.23999999,3,302,2024,2,1,.63999999,.55961555,.22174303,224,213,206,304,147,8,491,498,153,18,433,.079598092,.48088387,76,77
CHOCOLATE 10,.51923078,.13640894,.11111111,.11947709,212222,.80000001,8,3,61,27,4,21,.091743141,-.22471909,.13333337,-.19411764,-.23961224,-.20496324,72,.041666668,52,.07692308,1,101,2024,2,1,1.5,.17921564,.20461342,225,240,433,322,447,404,293,385,174,177,433,.084607631,.12983142,284,193
SECONDARY SCHOOL- CAFETERIA,.51851851,.11963996,0,,220210,2.5999999,0,0,136,70,22,43,,,.083771899,-.089898996,,-.19875818,136,0,135,.16296296,11,1101,2024,2,1,.75999999,,.090926372,226,553,316,537,479,,279,,374,,433,.052977405,.06669791,438,427
BOY'S SHOES,.51776648,.26166114,.042056076,.48275545,510507,22.99,9,7,198,102,32,63,.25,-.15000001,.11111111,-.23085806,-.21488859,-.20483156,214,.03271028,197,.16243654,3,302,2024,2,1,.23999999,.1158613,.062798671,227,420,318,357,227,76,292,341,432,286,433,.070753358,.2315647,339,134
PAIN KILLER TABLETS-16-24 PACK,.51764709,.23282889,.11711711,.48253387,520227,2.2,13,4,94,44,11,30,.15384619,-.23411372,.11250001,-.27777779,-.18808529,-.29768407,111,.036036037,85,.12941177,6,601,2024,2,1,.89999998,.43428048,.20954598,228,224,359,340,262,77,476,286,169,38,433,.090502739,.22007303,322,90
DISHWASHER TABLETS PACK 16-45,.51748252,.33069125,.13259669,.45602679,430538,6,24,30,127,74,35,34,.44791669,-.24285716,.33333334,-.090909094,-.22721323,-.12656905,181,.16574585,143,.24475524,5,506,2024,2,1,.30000001,.13680804,.099207379,229,197,202,89,162,89,113,359,358,251,433,.15145995,.44486281,54,420
WOMENS SHORT SLEEVE FORMAL TOP,.51630437,.42852435,.18309858,.78614295,510259,12.5,39,42,132,95,68,21,.46697798,-.21111111,.25,-.33333334,-.27185157,-.3341887,213,.1971831,184,.36956522,3,301,2024,2,1,.68000001,.53457719,.29139656,230,126,79,63,95,14,506,425,105,21,433,.1900432,.58882111,104,47
INDIAN TAKEAWAY,.5151515,.1701587,.060240965,.16977285,220318,8.9499998,5,2,76,34,1,31,.11324257,-.12571317,.1084975,-.39047617,-.12571317,-.39047617,83,.024096385,66,.015151516,11,1101,2024,2,1,1.74,.29540476,.29607615,231,358,534,395,367,317,531,140,102,86,433,.040555954,.095762327,347,25
POWDERED BABY FORMULA 400-900G,.51479292,.063151471,.042780749,.031541001,211816,12.25,8,59,120,87,34,48,.021276595,-.068627462,.050000001,-.049295761,-.066933416,-.073367998,187,.31550801,169,.20118344,1,101,2024,2,1,.22,.00693902,.013893324,232,414,259,15,558,534,23,46,551,536,433,.089509659,.12190049,513,491
FRESH VEG-TOMATOES-PER KG,.51269037,.24111176,.1641791,.2084813,212515,3,44,24,200,101,71,25,.11864416,-.20227271,.16499996,-.077220008,-.23181361,-.17623746,268,.089552239,197,.3604061,1,101,2024,2,1,.77999997,.1626154,.18806717,233,151,88,208,248,269,228,374,196,202,433,.2501545,.2199025,211,442
CANNED MEAT-STEWED STEAK,.51136363,.090056509,.019607844,.25670442,211007,3.3499999,2,1,99,45,2,41,.25670442,-.33333334,.08108107,-.2736901,-.33333334,-.2736901,102,.0098039219,88,.022727273,1,101,2024,2,1,.17,.043639753,.015309607,234,496,521,480,532,216,439,477,546,442,433,.086846784,.14477479,449,93
LEMONADE-2 LITRE BOTTLE,.50999999,.19377743,.14545454,.10095385,212008,.72500002,16,0,94,51,9,40,.099999987,,.1666666,-.26966295,,-.31434318,110,0,100,.090000004,1,102,2024,2,1,.14,.014133539,.02712884,235,180,410,531,319,434,492,,530,522,433,.096620135,.23891744,206,99
MEN'S TRAINING SHOE-SPORTSWEAR,.50943398,.36458209,.027027028,.18743055,510516,60,3,11,97,54,33,19,.0625,-.125,.21538462,-.13636364,-.16331418,-.16349763,111,.0990991,106,.31132075,3,302,2024,2,1,.88,.16493888,.32083225,236,481,131,196,135,293,190,221,91,199,433,.091106497,.23884566,128,305
MEN'S FOOTBALL BOOTS,.50877196,.24899127,.041666668,.23640475,630343,87.989998,3,5,64,29,14,14,.14271426,-.15800002,.14285715,-.31578946,-.16196865,-.31084254,72,.069444448,57,.24561404,9,903,2024,2,1,1.12,.26477331,.27887022,237,423,201,249,242,238,486,218,113,113,433,.10244723,.3232252,268,53
CORN SNACK SINGLE PACK MAX 50G,.50724638,.23624521,0,,210211,1,0,0,99,35,5,29,,,.11111114,-.70588237,,-.51717645,99,0,69,.072463766,1,101,2024,2,1,.38999999,,.092135631,238,543,444,553,256,,543,,368,,433,.085820533,.15394531,329,4
WOMENS HAIR COLOURANT 60-140ML,.50617284,.22078632,.073684208,.15747821,520236,7.9949999,7,11,77,41,6,34,.125,-.25019246,.2002002,-.1304348,-.25019246,-.14668566,95,.11578947,81,.074074075,12,1201,2024,2,1,.47999999,.075589538,.10597743,239,311,438,163,271,340,153,400,341,368,433,.10785361,.2407444,141,317
CRAFT KIT FOR CHILD 5 YRS+,.50549453,.47107735,.056910571,.33368245,630365,10,7,34,82,46,30,15,.30792919,-.24924923,.33147949,-.34094903,-.18374865,-.31608957,123,.27642277,91,.32967034,9,903,2024,2,1,.23999999,.080083787,.11305856,240,365,118,28,74,155,496,274,332,359,433,.12533005,.31926656,56,42
WOMEN'S SHOWERPROOF JACKET,.50458717,.60607588,.13675214,.32801661,510256,108,16,9,92,55,30,24,.32995972,-.25006256,.45454547,-.28064477,-.30375275,-.26897717,117,.07692308,109,.27522936,3,301,2024,2,1,.68000001,.22305129,.41213161,241,191,169,230,42,160,434,456,58,136,433,.12637134,.40101314,25,86
WOMEN'S TROUSERS-CASUAL,.5043478,.4455204,.152,.46081612,510235,19,38,45,167,116,75,39,.33266667,-.21428572,.2857143,-.21428572,-.21656923,-.32511115,250,.18000001,230,.32608697,3,301,2024,2,1,1.36,.62670994,.60590774,242,165,120,73,87,86,500,345,21,13,433,.13766283,.47612751,72,155
PRIVATE DENTAL EXAMINATION,.50340134,.12890866,.053691275,.094329514,520326,50,8,2,139,74,6,67,.090686277,-.35841364,.1,-.29632482,-.35841364,-.27432615,149,.013422819,147,.040816326,6,602,2024,2,1,1.4,.13206132,.18047212,243,373,487,453,464,452,440,489,211,260,433,.037734762,.12884401,374,69
DISH WASHER 12-15 PLACE SET,.502994,.2402156,.27272728,.099496767,430356,449,48,4,124,84,66,17,.11135858,-.13161846,.16317016,-.13953489,-.11396394,-.2182678,176,.022727273,167,.39520958,5,503,2024,2,1,.16,.015919482,.038434494,244,52,63,401,250,442,320,116,493,520,433,.23095658,.12809138,213,297
WOMEN'S JUMPER,.50220263,.29554626,.18699187,.61260217,510212,19.99,46,30,170,114,64,49,.5,-.26141173,.125,-.23192772,-.2754823,-.25260967,246,.12195122,227,.28193831,3,301,2024,2,1,.68000001,.41656947,.20097145,245,123,162,154,195,32,398,432,182,42,433,.14051902,.42726851,300,132
CAR WASH HAND OR AUTOMATIC,.5,.30146262,.011764706,.12515645,610238,7,1,1,83,36,0,36,.12515645,-.2,.25,,-.2,,85,.011764706,72,0,7,702,2024,2,1,.64999998,.08135169,.1959507,247,518,553,465,184,394,,309,188,356,433,.01997084,.24620214,98,
PERFUME/FRAGRANCE MEN OR WOMEN,.5,.14704441,.11570248,.3150861,520234,35,14,18,89,42,26,16,.2,-.16298702,.086021505,-.27272728,-.21502824,-.27445573,121,.14876033,84,.30952382,12,1201,2024,2,1,.63999999,.20165509,.094108418,246,228,133,114,418,169,441,342,366,152,433,.10874295,.23240767,431,94
SIX BREAD ROLLS-WHITE/BROWN,.5,.13480543,.021052632,.14583331,210106,1.15,2,4,89,36,8,28,.14583331,-.062121205,.12499996,-.10909091,-.058838382,-.1169275,95,.042105265,72,.11111111,1,101,2024,2,1,.68000001,.099166654,.091667689,248,494,384,320,452,353,96,34,371,313,433,.089315347,.16207968,302,381
PORTABLE SPEAKER,.4983165,.44644761,.11764706,.20412038,630162,89,38,54,231,148,91,58,.15358979,-.098915353,.18421052,-.30771601,-.10877882,-.31799799,323,.16718267,297,.30639732,9,901,2024,2,1,.47999999,.09797778,.21429485,249,223,136,88,86,275,497,106,165,317,433,.14985432,.21142474,176,57
MENS 3/4 TO FULL LENGTH COAT,.49612403,.5004217,.25443786,.3222155,510130,95,43,26,100,64,43,22,.067415729,-.28147286,.10084745,-.24905661,-.30411449,-.28307879,169,.15384616,129,.33333334,3,301,2024,2,1,.34,.10955327,.17014338,250,62,114,105,61,164,453,457,230,294,433,.10935543,.47185549,364,121
"PEANUT BUTTER, JAR, 225-350G",.49444443,.26738197,.15609756,.47187689,211409,2.5,32,43,130,89,51,40,.47500002,-.2857143,.31004369,-.16666667,-.21577998,-.19375262,205,.20975609,180,.28333333,1,101,2024,2,1,.18000001,.084937841,.048128758,251,160,159,51,219,82,265,344,464,349,433,.11781543,.31843749,61,239
BOXED BOARD GAME: NOT TRAVEL,.49315068,.29932109,.25961539,.33962932,630309,18,27,35,42,36,19,18,.38966095,-.1,.2,-.16704547,-.16085678,-.22202791,104,.33653846,73,.26027396,9,903,2024,2,1,.31999999,.10868138,.095782742,252,59,189,8,186,152,328,214,363,296,433,.10439692,.20092349,149,228
CHILDS BICYCLE,.49242425,.17166902,.25316456,.1868996,620317,140,40,15,103,65,33,34,.25,-.1923077,.11111111,-.125,-.17261283,-.16311733,158,.094936706,132,.25,7,701,2024,2,1,.5,.093449801,.085834511,253,64,195,204,361,297,188,246,384,329,433,.10001423,.17860007,340,336
DIGITAL RADIO (DAB),.4921875,.4510034,.16806723,.090545326,630138,134.495,20,4,95,63,37,28,.060624428,-.15478598,.20004,-.11765397,-.17907967,-.1444104,119,.033613447,128,.2890625,9,901,2024,2,1,.28,.025352692,.12628095,254,150,150,353,83,460,148,265,302,496,433,.10131739,.18641698,146,359
T'AWAY COOKED SAVOURY PASTRY,.49193549,.12543438,.072992697,.082441226,220327,1.425,10,0,127,61,3,60,.067936108,,.070422538,-.13043477,,-.16534203,137,0,124,.024193548,11,1101,2024,2,1,1.74,.14344773,.21825583,255,316,518,542,469,470,194,,156,240,433,.090697929,.097361565,482,319
MENS JEANS,.49145299,.30816811,.11290322,.26484227,510106,26,28,9,211,115,27,92,.12,-.1754386,.21428572,-.22222222,-.20612599,-.23025107,248,.036290321,234,.11538462,3,301,2024,2,1,1.02,.2701391,.31433147,256,236,377,339,181,207,351,325,95,110,433,.087250449,.29971263,129,147
MEN'S JUMPER-KNITTED,.49107143,.42788646,.1632653,.45714647,510108,25,40,64,141,110,76,38,.25,-.2,.25,-.16666667,-.25922629,-.24078217,245,.26122448,224,.3392857,3,301,2024,2,1,.34,.1554298,.14548139,257,153,108,33,96,88,374,415,267,213,433,.11492084,.40004173,102,245
ROSE WINE-75CL BOTTLE,.49056605,.13666131,.051282052,.11442274,310425,6.9899998,6,24,87,52,42,12,.072916672,-.12515645,.088235296,-.12515645,-.11054558,-.11768337,117,.20512821,106,.39622641,2,201,2024,2,1,.63999999,.07323055,.087463237,258,385,61,55,446,414,98,109,381,371,433,.18065748,.22872616,418,328
CHILLED GARLIC BREAD,.48901099,.37304801,.029268293,.10908958,210114,.99000001,6,4,195,89,63,30,.042857189,-.07483276,.12307699,-.13043477,-.11861295,-.21231535,205,.019512195,182,.34615386,1,101,2024,2,1,1.1900001,.12981661,.44392714,259,471,100,421,129,422,308,127,51,264,433,.10506593,.3150202,304,321
