description,shareRising_12m,meanRise_12m,shareRising_1m,meanRise_1m,item_id
HOTEL 1 NIGHT PRICE,.72368419,.3063955,.38805971,.23485239,640406
MENS CASUAL S/SLEEVE TOP,.72321427,.27992752,.12156863,.37144867,510113
DISH WASHER 12-15 PLACE SET,.72159094,.24305366,.36363637,.067424148,430356
FROZEN CHIPS 900G-1.5KG,.72142857,.34451938,.1627907,.38008788,212405
LAGER 10-24 BOTTLES 250-330ML,.71698111,.17776084,.12962963,.22878867,310217
FROZEN GARDEN PEAS 800G-1KG,.71657753,.504731,.14,.13103136,212609
MENS SHOE FORMAL STYLE,.71649486,.28649163,.1254902,.13709976,510501
CREAM LIQUER 70CL-1LT 14-20%,.71282053,.16953751,.098445594,.38720846,310428
ELECTRIC COOKER,.71200001,.19991513,.31481481,.15809403,430304
FRESH VEG-COURGETTE-PER KG,.71088433,.31080902,.10746269,.21987522,212531
COFFEE-INSTANT 90 -100G JAR,.71084338,.4549042,.11675127,.25465241,213003
BODY M'RISING LOTION 200-400ML,.70999998,.30284372,.18048781,.36630893,520252
SWIMMING POOL ADM STND ADULT,.70987654,.088502944,.06936416,.09291207,640219
COFFEE PODS PACK 8-16,.70748299,.2842831,.026143791,.375,213006
GIRLS TROUSERS NOT DENIM 5-13,.70588237,.49079877,.25108224,.45636371,510344
GRAPEFRUIT-EACH,.70411986,.16920015,.19003116,.049708478,212715
"SWEETS, NOT CHOC, 150-250G BAG",.69999999,.24339922,.0058479533,.25,212224
DRYCELL BATTERY 4 PACK EG AA,.69832402,.22617061,.38219896,.11009207,430539
CHILLED POT DESSERT 125-200G,.69491524,.24033596,.32231405,.090242647,211808
WHISKY-70 CL BOTTLE,.69444442,.12813509,.14876033,.15957898,310401
WOMENS HIGHLIGHTING,.69090909,.13915047,.05202312,.064738899,520311
POWER DRILL-HAMMER ACTION,.69047618,.13024521,.20952381,.081460081,410614
STAFF RESTAURNT HOT SNACK ITEM,.68965518,.34258139,.023255814,.14285724,220208
POTATO CRISPS-INDIVIDUAL PACK,.68965518,.126697,.057142857,.17853552,220310
GIN BOTTLE 70CL,.68811882,.082562938,.18981482,.16865882,310429
MEN'S BRANDED SPORT SWEATSHIRT,.68695652,.32652178,.11029412,.2695004,510128
MULTI-VITAMINS CAPSULES/TABLET,.68686867,.32716683,.17647059,.19448112,520222
LUGGAGE TROLLEY CASE - 60-70CM,.68421054,.71292198,.1724138,.323782,520134
CHILD'S BABY DOLL,.68421054,.20187227,.060344826,.21877053,630347
"DISP NAPPIES, SPEC TYPE, 20-60",.68108106,.28552702,.18139535,.30105242,520219
LEATHER SETTEE,.68085104,.2012441,.32608697,.14468551,430137
BREAKFAST CEREAL 2,.68047339,.18589422,.14492753,.15606803,210214
DIGITAL DEVELOPMENT PER PRINT,.67948717,.17167032,.0090909088,.072727203,630359
PLUMS PER KG/PACK,.67532468,.56840527,.079470202,.20946011,212726
CANNED TOMATOES 390-400G,.67492259,.217694,.12146892,.12273836,212601
BOOKCASE/FREESTAND SHELV UNIT,.67320263,.32487386,.17326732,.19874732,430133
FROZ VEG BURGER/GRILL 180-454G,.67045456,.28274825,.054945055,.30941701,212928
LIQUID SOAP 200-300ML,.67021275,.22420608,.041666668,.58950651,520247
SOLID GOLD RING 9CT,.66972476,.20790365,.081249997,.19567244,520130
